record_id,age_max,age_min,category,created,created_by,gender,last_modified_by,last_modified_time,overview,recommendation_text,therapautics_matrix,therapautics_matrix_2,therapautics_matrix_3,therapeutic,therapeutic_dose_max,therapeutic_dose_min,therapeutic_dose_rollup,therapeutic_frequency_days,therapeutic_operator,therapeutic_timing,therapeutic_type,therapeutic_unit,therapeutic_unit_symbol
recGVkHpd317rez70,150,21,Mitochondrial Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:36.000Z,Mitochondrial-derived peptide for metabolism,"Take 10-20mg of MOTS-c in the morning every 3 days for mitochondrial function, metabolic optimization, exercise capacity, and longevity
",recKfsD4Kgd3T8dyJ,,,MOTS-c,20,10,10-20 mg,3,<>,Morning,PEP,recBxCQOAdMmOV1Hi,mg
recKppKaieMXHdHtT,150,21,Mitochondrial Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:39.000Z,Neuroprotective mitochondrial peptide,"Take 5-10mg of Humanin at any time every 3 days for neuroprotection, mitochondrial health, cellular survival, and cognitive preservation
",recG9BmyzPJTCiHVE,,,Humanin,10,5,5-10 mg,3,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
rec2F3CbADWEuukbn,150,21,Copper Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:45.000Z,Tissue remodeling and wound healing peptide,"Take 2-5mg of GHK-Cu at any time daily for tissue remodeling, wound healing, skin health, and anti-aging benefits
",recKXlk5my5z2ItQq,,,GHK-Cu,5,2,2-5 mg,1,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
rec5IHG8JPx3cukaf,150,21,Mitochondrial Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:50.000Z,Mitochondrial-targeted antioxidant peptide,"Take 5-20mg of SS-31 at any time daily for mitochondrial protection, cellular energy optimization, and cardioprotection
",recWVj4Mby0hWd2WX,,,SS-31,20,5,5-20 mg,1,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recKY3IY1AMFEiqzo,150,21,Growth Hormone Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:34:54.000Z,GHRH analog for body composition,"Take 1-2mg of Tesamorelin before bed daily for visceral fat reduction, body composition optimization, and metabolic health
",recILoTSc1W8sEfls,,,Tesamorelin,2,1,1-2 mg,1,<>,Before bed,PEP,recBxCQOAdMmOV1Hi,mg
recyjeOoGSOtTV5DA,150,21,Immune Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:00.000Z,Immunomodulatory peptide for immune enhancement,"Take 1.6-3.2mg of Thymosin Alpha-1 at any time every 3 days for immune enhancement, viral resistance, and longevity support
",recg47C0MjDA9cFAY,,,Thymosin Alpha-1,3.2,1.6,1.6-3.2 mg,3,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recJCh7hB4O9XeECD,150,21,Peptide Hormone,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:06.000Z,Melanocortin receptor agonist for skin protection,"Take 0.25-1mg of Melanotan II before bed daily for skin protection, melanin production, and potential metabolic benefits
",recR9fwZUUbMvSt2V,,,Melanotan II,1,0.25,0.25-1 mg,1,<>,Before bed,PEP,recBxCQOAdMmOV1Hi,mg
recPwH0tLzPqgthYz,150,21,Senolytic Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:11.000Z,Senescent cell elimination peptide,"Take 5-10mg of FOXO4-DRI at any time monthly for senescent cell elimination, tissue rejuvenation, and healthy aging
",rec9hiupXO4YxRDli,,,FOXO4-DRI,10,5,5-10 mg,30,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recOOLSeSVblpHOK0,150,21,Nootropic Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:15.000Z,Anxiolytic peptide for stress and cognition,"Take 0.5-1.5mg of Selank in the morning daily for stress reduction, cognitive enhancement, immune modulation, and neuroprotection
",recBI4DoR3OMeTOwC,,,Selank,1.5,0.5,0.5-1.5 mg,1,<>,Morning,PEP,recBxCQOAdMmOV1Hi,mg
recRCaqeqcfeiHKr5,150,21,Nootropic Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:18.000Z,Cognitive enhancement and neuroprotection,"Take 0.2-1mg of Semax in the morning daily for cognitive enhancement, neuroprotection, memory improvement, and brain health
",rece4LqhrZMUfGr0W,,,Semax,1,0.2,0.2-1 mg,1,<>,Morning,PEP,recBxCQOAdMmOV1Hi,mg
rece54HLMbtsbuZlu,150,21,Reproductive Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:21.000Z,Gonadotropin-releasing hormone stimulator,"Take 1-5mcg of Kisspeptin at any time daily for reproductive health optimization and hormonal balance
",recIHQ9b8Jw3zFcd3,,,Kisspeptin,5,1,1-5 µg,1,<>,Any,PEP,rec0bCCIGsoIoxokH,µg
recZ6ewDohnArCowv,150,21,Weight Loss Drug,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:28.000Z,Triple reuptake inhibitor for body composition,"Take 0.25-0.5mg of Tesofensine in the morning daily for body composition optimization, metabolic enhancement, and weight management
",recKbx33jkfn7s03A,,,Tesofensine,0.5,0.25,0.25-0.5 mg,1,<>,Morning,PEP,recBxCQOAdMmOV1Hi,mg
recd6TiMhFYv18aOI,150,21,Antimicrobial Peptide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:32.000Z,Human cathelicidin for immune defense,"Take 2-5mg of LL-37 at any time every 3 days for immune defense, antimicrobial protection, and wound healing
",recHVDGLzTS8NrPOi,,,LL-37,5,2,2-5 mg,3,<>,Any,PEP,recBxCQOAdMmOV1Hi,mg
recDdXb8gmNlkmaLw,150,21,Growth Factor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:35.000Z,Long-acting insulin-like growth factor,"Take 20-50mcg of IGF-1 LR3 in the morning every 3 days for muscle preservation, tissue repair, and anti-aging benefits
",recvfW5RJ1bA5UJUT,,,IGF-1 LR3,50,20,20-50 µg,3,<>,Morning,PEP,rec0bCCIGsoIoxokH,µg
reclFjQSn2XlvZr3H,150,21,Growth Factor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:35:44.000Z,Mechano-growth factor for muscle maintenance,"Take 100-200mcg of MGF at any time every 3 days for muscle maintenance, recovery enhancement, and tissue regeneration
",recp2mgJzDwDJCGRI,,,MGF,200,100,100-200 µg,3,<>,Any,PEP,rec0bCCIGsoIoxokH,µg
rec0AvsGhSkxlnHX8,150,21,Statin,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:36:19.000Z,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 10-40mg of Atorvastatin before bed daily for cardiovascular protection, cholesterol optimization, and potential longevity benefits
",recXhaC4ADP9RrHko,,,Atorvastatin,40,10,10-40 mg,1,<>,Before bed,MED,recBxCQOAdMmOV1Hi,mg
recRNsV0KejSmRxu6,150,21,Statin,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:36:27.000Z,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 5-20mg of Rosuvastatin at any time daily for aggressive cholesterol management, cardiovascular protection, and pleiotropic benefits
",rec0dY61WEPhyrOMh,,,Rosuvastatin,20,5,5-20 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recILFpdj3T0mvYoW,150,21,Statin,2025-09-27T16:13:42.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:36:34.000Z,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 20-40mg of Pravastatin before bed daily for cardiovascular health, cholesterol management, and anti-inflammatory effects
",recxKJ03cEFPPGhVb,,,Pravastatin,40,20,20-40 mg,1,<>,Before bed,MED,recBxCQOAdMmOV1Hi,mg
recPtDU3TbILj67hk,150,21,Cholesterol Absorption Inhibitor,2025-09-27T16:13:43.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:38:17.000Z,NPC1L1 inhibitor for cholesterol optimization,"Take 10mg of Ezetimibe at any time daily for additional cholesterol reduction and cardiovascular protection
",recbp5Z02WJMGGHB1,,,Ezetimibe,,10,10 mg,1,=,Any,MED,recBxCQOAdMmOV1Hi,mg
recAASVyuR1MwNfa2,150,21,PCSK9 Inhibitor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:39:33.000Z,Monoclonal antibody for aggressive cholesterol control,"Take 140-420mg of Evolocumab at any time every 2 weeks for aggressive cholesterol management and cardiovascular risk reduction
",recmk6CmH3NmlutQW,,,Evolocumab,420,140,140-420 mg,14,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recYTN8b1Xtoea2zj,150,21,PCSK9 Inhibitor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:39:39.000Z,Monoclonal antibody for aggressive cholesterol control,"Take 75-150mg of Alirocumab at any time every 2 weeks for optimal cholesterol control and cardiovascular protection
",rec83sCoW9fWB9Ofp,,,Alirocumab,150,75,75-150 mg,14,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recWERlvL5S1ngEt8,150,21,Cholesterol Synthesis Inhibitor,2025-09-27T16:15:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:40:06.000Z,ATP citrate lyase inhibitor,"Take 180mg of Bempedoic Acid at any time daily for cholesterol reduction and cardiovascular benefits
",recJ6KKGNcsa5CbEb,,,Bempedoic Acid,,180,180 mg,1,=,Any,MED,recBxCQOAdMmOV1Hi,mg
recGOF4RrolkUD8fp,150,21,Fibrate,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:40:37.000Z,PPARα agonist for triglyceride optimization,"Take 48-145mg of Fenofibrate with meals daily for triglyceride optimization and cardiovascular protection
",receE5K33VsITAQ3l,,,Fenofibrate,145,48,48-145 mg,1,<>,With meals,MED,recBxCQOAdMmOV1Hi,mg
recU4gETv7PhaIahl,150,21,Fibrate,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:40:40.000Z,PPARα agonist for triglyceride optimization,"Take 600-1,200mg of Gemfibrozil before meals daily for triglyceride management and cardiovascular health
",recEYP7vktyz0N8iJ,,,Gemfibrozil,1200,600,600-1200 mg,1,<>,Before meals,MED,recBxCQOAdMmOV1Hi,mg
recrJMUbyDMwVrdAI,150,21,Omega-3 Prescription,2025-09-27T16:16:03.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:41:32.000Z,Purified EPA for cardiovascular optimization,"Take 2-4g of Icosapent Ethyl with meals daily for cardiovascular risk reduction and triglyceride management
",recsQfkX0Ks0uGu0x,,,Icosapent Ethyl,4,2,2-4 g,1,<>,With meals,MED,recBuF3n8IQ2v0Io8,g
recdJhA5yKsiLtR6O,150,21,Omega-3 Prescription,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:41:39.000Z,Purified EPA for cardiovascular optimization,"Take 2-4g of Vascepa with meals daily for cardiovascular protection and anti-inflammatory benefits
",rec8x3aKZgY5lMUFT,,,Vascepa,4,2,2-4 g,1,<>,With meals,MED,recBuF3n8IQ2v0Io8,g
recndoooyglQx4y9P,150,21,Bile Acid Sequestrant,2025-09-27T16:16:35.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:42:06.000Z,Bile acid binding resin for cholesterol,"Take 8-16g of Cholestyramine before meals daily for cholesterol reduction and bile acid optimization
",recW3shrY0gT5x2lI,,,Cholestyramine,16,8,8-16 g,1,<>,Before meals,MED,recBuF3n8IQ2v0Io8,g
recyQvtjyo86gveer,150,21,Bile Acid Sequestrant,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:42:13.000Z,Bile acid binding agent for cholesterol,"Take 3.75-4.375g of Colesevelam with meals daily for cholesterol management and glucose control
",recXAfitq6HLpsxc2,,,Colesevelam,4.375,3.75,3.75-4.375 g,1,<>,With meals,MED,recBuF3n8IQ2v0Io8,g
recf4sifYvn5Tdz9B,150,21,Bile Acid Sequestrant,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:42:18.000Z,Bile acid binding resin for cholesterol,"Take 10-20g of Colestipol before meals daily for cholesterol reduction and cardiovascular protection
",recjNjSpoVRlD7N53,,,Colestipol,20,10,10-20 g,1,<>,Before meals,MED,recBuF3n8IQ2v0Io8,g
recyxuZLsrkXWMvzR,150,21,Biguanide,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:48:54.000Z,Glucose optimization and longevity pathways,"Take 500-2,000mg of Metformin with meals daily for glucose optimization, longevity pathways activation, and metabolic health
",rectdPi389LJ4nzH4,,recFjODxHfNMbp7NI,Metformin,2000,500,500-2000 mg,1,<>,With meals,MED,recBxCQOAdMmOV1Hi,mg
rec5tCyQlFe6acsRf,150,21,SGLT2 Inhibitor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:48:36.000Z,Metabolic optimization and cardioprotection,"Take 10-25mg of Empagliflozin in the morning daily for metabolic optimization, cardiovascular protection, and potential longevity benefits
","rec0ioZWRXM208MOR, recFjODxHfNMbp7NI",,,Empagliflozin,25,10,10-25 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recgnzq73RjPFEmQL,150,21,SGLT2 Inhibitor,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:44:45.000Z,Metabolic optimization and cardioprotection,"Take 5-10mg of Dapagliflozin in the morning daily for metabolic health, cardiovascular benefits, and weight management
",rec75ksnDkWIKyFEJ,,,Dapagliflozin,10,5,5-10 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recxNtWjwRpIlIFgh,150,21,ACE Inhibitor,2025-09-27T16:18:28.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:44:49.000Z,Cardiovascular protection and longevity,"Take 5-20mg of Lisinopril at any time daily for cardiovascular protection, blood pressure optimization, and longevity benefits
",reckK5qGXQ8sWapSG,,,Lisinopril,20,5,5-20 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recHqvt2yu05ESjzC,150,21,ARB,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:44:52.000Z,Cardiovascular protection and longevity,"Take 25-100mg of Losartan at any time daily for cardiovascular health, kidney protection, and anti-aging benefits
",recyHLz8Ff02WdHwe,,,Losartan,100,25,25-100 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recMen2mZlihBo9bY,150,21,Beta Blocker,2025-09-27T16:18:30.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:39.000Z,Cardiovascular protection,"Take 2.5-10mg of Bisoprolol in the morning daily for cardiovascular protection and stress response optimization
","recHQSz6isXnQ8wcG, recqC94gkDbDan3Ft",,,Bisoprolol,10,2.5,2.5-10 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
recpj0u9FRtBln1Tn,150,21,Beta Blocker,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:46:20.000Z,Cardiovascular protection,"Take 50-200mg of Metoprolol in divided doses daily for heart health, blood pressure control, and cardiovascular longevity
","recWrUlNA70SboKGJ, rec4y4MOFGWGwcctM",,,Metoprolol,200,50,50-200 mg,1,<>,Divided,MED,recBxCQOAdMmOV1Hi,mg
recMBNA1XhcrdUTDp,150,21,Calcium Channel Blocker,2025-09-27T16:20:16.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:06.000Z,Cardiovascular protection,"Take 2.5-10mg of Amlodipine at any time daily for blood pressure optimization and cardiovascular protection
",recuY3ZLCNC82mb0W,,,Amlodipine,10,2.5,2.5-10 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
recyIixE2UOSbrRz2,150,21,Calcium Channel Blocker,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:13.000Z,Cardiovascular protection,"Take 120-360mg of Diltiazem at any time daily for cardiovascular health and blood pressure management
",recrzH1PnmgHtsBeB,,,Diltiazem,360,120,120-360 mg,1,<>,Any,MED,recBxCQOAdMmOV1Hi,mg
rec5HX7js7FFz4tv0,150,21,Thiazide Diuretic,2025-09-27T16:20:18.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:16.000Z,Cardiovascular protection,"Take 12.5-25mg of Hydrochlorothiazide in the morning daily for blood pressure control and cardiovascular protection
",recSbkWRXu3F84k38,,,Hydrochlorothiazide,25,12.5,12.5-25 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
rec1fTtP3L6AosDpo,150,21,Thiazide Diuretic,2025-09-27T16:11:29.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:21.000Z,Cardiovascular protection,"Take 12.5-25mg of Chlorthalidone in the morning daily for long-term cardiovascular protection and blood pressure optimization
",rec8JqsWgGBSQVszd,,,Chlorthalidone,25,12.5,12.5-25 mg,1,<>,Morning,MED,recBxCQOAdMmOV1Hi,mg
rec0McPfj8yGA5Fbt,150,21,Mineralocorticoid Antagonist,2025-09-27T16:20:19.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",male_female,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",2025-09-27T17:45:25.000Z,Cardiovascular and longevity benefits,"Take 25-50mg of Spironolactone with meals daily for cardiovascular benefits, aldosterone antagonism, and potential longevity effects
",rec2rDRNjPBMICVx9,,,Spironolactone,50,25,25-50 mg,1,<>,With meals,MED,recBxCQOAdMmOV1Hi,mg
