record_id,Created,Created By,ID,Last Modified,Last Modified By,calculation_target_value,calculation_type,challenges_v3,dependency_logic,dependency_tracked_metric,frequency,level_description (from linked_recommendations) (from challenges_v3),operator,scoring_frequency,scoring_minimum_frequency,scoring_target_value,scoring_target_value_2,scoring_type,target_quantity,target_value,times,tracked_metric,tracked_metric_unit,unit,weightage
recYr8ByL7GhhTHeq,2025-08-24T08:54:02.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0018.2-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recx06oSoayVqGz6V, recFdBhSzQ4HFRoqA, recAKkRyv4qN97HDO, recfHgAYpNa5yUdJW, rec7LBVNaVLeXyUdk",wake_interval,recx1YaZabuU3zURf,per week,"Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week, Eat your first meal of the day within 2 hours after waking on at least 5 days per week",<=,weekly,5 of 7 days,≤2 hours after waking,,binary_frequency,≥ 2 hours x 5,2,5,recY75tn39AEXKwbl,hours,hours,
rec97tq6D5M443lB1,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0019.1-G1,2025-09-22T16:24:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recwvsNnu0FPafmWs, recPbEEVTToAH7GgN, recjZnl1948rQWI3m, recDi3czn4nfDm3zA, recknKs9eeuVR6yiy",sleep_interval,recY75tn39AEXKwbl,per week,"Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week",>=,weekly,2 of 7 days,≥2 hours before bedtime,,binary_frequency,≥ 2 hours x 2,2,2,recVMr3DikpSr9pNN,timestamp,hours,
rec73SSN5l0E57qhO,2025-08-24T08:54:41.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0019.1 -G2,2025-09-22T16:25:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recwvsNnu0FPafmWs, recPbEEVTToAH7GgN, recjZnl1948rQWI3m, recDi3czn4nfDm3zA, recknKs9eeuVR6yiy",sleep_interval,recVMr3DikpSr9pNN,per week,"Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week, Finish your final meal at least 2 hours before bedtime on at least 2 days per week",>=,weekly,2 of 7 days,≥2 hours before bedtime,,binary_frequency,≥ 2 hours x 2,2,2,recY75tn39AEXKwbl,hours,hours,
recYYwUWTKwGiTOjO,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0019.2-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recyz3S59RqK4SPPW, recgqqxWRCjITSrPE, recjh57DP60SiOQBy, recZPOMJk9zIcflbx, recAx8RgmmVxvOcr3",sleep_interval,recY75tn39AEXKwbl,per week,"Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week",>=,weekly,5 of 7 days,≥3 hours before bedtime,,binary_frequency,≥ 3 hours x 5,3,5,recVMr3DikpSr9pNN,timestamp,hours,
recPizN0p3JhT32Ha,2025-08-24T08:55:05.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0019.2-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,recent,"recgmNrtNvMrKF1Ix, rec6XfiXA6OCsfMz1, recb3btxJQ2YO9zsf, recFk31A3fxXyYamT, recv2h8bapJcPsr10",sleep_interval,recVMr3DikpSr9pNN,per week,"Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week, Finish your final meal at least 3 hours before bedtime on at least 5 days per week",>=,weekly,5 of 7 days,≥3 hours before bedtime,,binary_frequency,≥ 3 hours x 5,3,5,recY75tn39AEXKwbl,hours,hours,
recw8u0doVu4tUJRL,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0020.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recUEZUWVxBRZFtn0, recsCAinroXctSbbG, reczOTo6fXePv9yLe, reczSVEorWLb3UjJ1, recQgHGMG4yzVZHlV",,,per_day,"Drink at least 6 cups (about 1.5 liters) of water per day on at least 2 days per week, Drink at least 6 cups (about 1.5 liters) of water per day on at least 2 days per week, Drink at least 6 cups (about 1.5 liters) of water per day on at least 2 days per week, Drink at least 6 cups (about 1.5 liters) of water per day on at least 2 days per week, Drink at least 6 cups (about 1.5 liters) of water per day on at least 2 days per week",>=,weekly,2 of 7 days,≥6 cups,,binary_frequency,≥ 6 cups x 2,6,2,recEbOiNyw46llfxE,cups,cups,
rec803WTJiQdj1npu,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0020.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recKhcSqUe3ZdW9Lh, recqNa00HwnYKk79C, rec181L56TfUHhB0s, recbvnZ1rW5oy6vH9, recDdpf7RJVzHUDvA",,,per_day,"Drink at least 8 cups (about 2 liters) of water per day on at least 5 days per week, Drink at least 8 cups (about 2 liters) of water per day on at least 5 days per week, Drink at least 8 cups (about 2 liters) of water per day on at least 5 days per week, Drink at least 8 cups (about 2 liters) of water per day on at least 5 days per week, Drink at least 8 cups (about 2 liters) of water per day on at least 5 days per week",>=,weekly,5 of 7 days,≥8 cups,,binary_frequency,≥ 8 cups x 5,8,5,recEbOiNyw46llfxE,cups,cups,
recdMaYZThtNoK0pH,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0021.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recwFhk1IEV5XJSPJ, recWzzYNxRIho4Ldl, recGaNFe8uLwUsHtF, recZVvXxYgS8qHkzf, rec5Y204LCb8PJAC6",,,per_day,"Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week, Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week, Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week, Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week, Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week",>=,weekly,2 of 7 days,≥1 whole food meal,,binary_frequency,1 meal x 2,1,2,reczZJe3TIG1mp9oT,meals,whole food meal,
recDUPyq4jWEi5n2t,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0021.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"rece8tI4x1Cezcgtt, recYB02apVGK5Wnid, recDMkzLgWLkwqPDF, recSSQvUsIuOf3MNX, recPXoHzY9kfFNKgv",,,per_day,"Make at least 2 meals per day whole-food meals, at least 5 days per week, Make at least 2 meals per day whole-food meals, at least 5 days per week, Make at least 2 meals per day whole-food meals, at least 5 days per week, Make at least 2 meals per day whole-food meals, at least 5 days per week, Make at least 2 meals per day whole-food meals, at least 5 days per week",>=,weekly,5 of 7 days,≥2 whole food meals,,binary_frequency,2 meals x 5,2,5,reczZJe3TIG1mp9oT,meals,whole food meal,
recsuZxFOLl5GuCDi,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0021.3-G1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"reci8aR6BOOmyKYsw, reckl9elkYPDVTmGf, recJLjopxWlHBcUyu",difference,recwG50znghbnB0TO,per week,"Make all meals whole-food based, at least 5 days per week, Make all meals whole-food based, at least 5 days per week, Make all meals whole-food based, at least 5 days per week",=,weekly,5 of 7 days,All meals whole food-based,,binary_frequency,All meals x 5,,5,reczZJe3TIG1mp9oT,meals,All meals whole food-based,
rec05vEGryS0r2vSf,2025-08-23T18:05:40.000Z,"{""id"": ""usrHQfgDi28DDluHj"", ""email"": ""akhlaq.ahmad@kiwitech.com"", ""name"": ""Akhlaq Ahmad""}",REC0021.3-G2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recvjvtXb2Ypkzpj5, recIgU5jELXR4FEP6, receasITuy8TvWB9y",difference,reczZJe3TIG1mp9oT,per week,"Make all meals whole-food based, at least 5 days per week, Make all meals whole-food based, at least 5 days per week, Make all meals whole-food based, at least 5 days per week",=,weekly,5 of 7 days,All meals whole food-based,,binary_frequency,All meals x 5,,5,recwG50znghbnB0TO,meals,All meals whole food-based,
recSKk1xVDHPtFekX,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0022.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"rec47otnrIOqADMAK, recwe0e2M9715BSbc, recztnFWf6pSW8MnW, recbOiBgohsQgLTKR, recD4dK7HpKbWt6SK",,,per_day,"Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week",<=,weekly,2 of 7 days,≤1 serving,,binary_frequency,≤ 1 serving x 2,1,2,rec4SBmFYUdPPk8U8,servings,serving,
recxMDZ4YrK0HVybV,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0022.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recghg3q5trVgRVDb, recZ4VThA4v5KYnZI, recgnSsJdixpDQa3t, recCV0UEhX2SyuFdn, recap87aSNVlbLvo4",,,per_day,"Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week, Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week",<=,weekly,5 of 7 days,≤1 serving,,binary_frequency,≤ 1 serving x 5,1,5,rec4SBmFYUdPPk8U8,servings,serving,
reclMIQG3IsDyPK98,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0023.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recyLHUlGkFDAEjPh, recYokuTXWOFBAReG, recNE24gVQS2v7UEa, recdccqo7JPSNOYUW, recFJSbE0WFu9xCNm",,,per week,"Limit takeout or delivery meals to 1 meal per week or less, Limit takeout or delivery meals to 1 meal per week or less, Limit takeout or delivery meals to 1 meal per week or less, Limit takeout or delivery meals to 1 meal per week or less, Limit takeout or delivery meals to 1 meal per week or less",<=,weekly,weekly,≤1 meal,,binary_frequency,≤ 1 meal x 1,1,1,recOyyoTez0r0ndcp,meals,meal,
recy5VODiI6iygRo8,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0023.2,2025-09-20T00:05:14.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recj2GyKKqZ7zLOA3, recuTuLDT9suYFiHL, recoDmgcD1VzDTfwz, recrB1iAeFZsDVQcN",,,per week,"Limit takeout or delivery meals to 1 meal per month or less, Limit takeout or delivery meals to 1 meal per month or less, Limit takeout or delivery meals to 1 meal per month or less, Limit takeout or delivery meals to 1 meal per month or less",<=,weekly,monthly,≤1 meal,,binary_frequency,≤ 1 meal x month,1,1,recOyyoTez0r0ndcp,meals,meal,
recTs7O1GYkRdCrcV,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0023.3,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recluVt3daJb8XlMl, recKev39VeEdfMkP9, recNxQZnLeuF1kosn",,,always,"Eliminate takeout outside of rare/special occasions   , Eliminate takeout outside of rare/special occasions   , Eliminate takeout outside of rare/special occasions   ",=,weekly,weekly,0 meals,,binary_frequency,0 meals x 7,0,1,recOyyoTez0r0ndcp,meals,meals,
recPqSvFRKYPTm7bX,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0024.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recfIst7V4SAirwgE, recHfuUO3FtGDX6mk, rec4DZFohZbiqv4E7, reciDCzsKjJTXT2XP, recVJXH7JbWjXT7C5",,,per_day,"Make at least 1 meal per day plant-based, on at least 2 days per week, Make at least 1 meal per day plant-based, on at least 2 days per week, Make at least 1 meal per day plant-based, on at least 2 days per week, Make at least 1 meal per day plant-based, on at least 2 days per week, Make at least 1 meal per day plant-based, on at least 2 days per week",>=,weekly,2 of 7 days,≥1 plant-based meal,,binary_frequency,1 meal x 2,1,2,recRaC1lSL33KQ2u8,meals,plant-based meal,
recRPAiZu99KcJs9A,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0024.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recS7r4kzR5E9nbaN, recguLMTY8k87cfvC, reckl9Rs6slJykrHc, recLM1jWvOFZf6uvV, recMUYqfwVOrmzw6Y",,,per_day,"Make at least 1 meal per day plant-based, on at least 5 days per week, Make at least 1 meal per day plant-based, on at least 5 days per week, Make at least 1 meal per day plant-based, on at least 5 days per week, Make at least 1 meal per day plant-based, on at least 5 days per week, Make at least 1 meal per day plant-based, on at least 5 days per week",>=,weekly,5 of 7 days,≥1 plant-based meal,,binary_frequency,1 meal x 5,1,5,recRaC1lSL33KQ2u8,meals,plant-based meal,
recHVjHvrXI4FnnA8,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0025.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recD6MAEAlmjQfFlQ, recg4atTh9BIL5qjD, rechwOkG2ONp44dE1, recZi2vjMs8k2psp7, recWudtRdDdMCZCvb",,,per week,"Complete at least 2 Zone 2 cardio sessions per week, any duration, Complete at least 2 Zone 2 cardio sessions per week, any duration, Complete at least 2 Zone 2 cardio sessions per week, any duration, Complete at least 2 Zone 2 cardio sessions per week, any duration, Complete at least 2 Zone 2 cardio sessions per week, any duration",>=,weekly,weekly,2 sessions,,proportional_frequency,≥2 sessions/week,2,1,recl2iT9ZsTmqtIV6,sessions,sessions,
rechpSVEokcGdNi7l,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0025.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recS0YsOuG4bK1Wfb, rec3bc0cbogEQzJDl, recXLmwAiIUEgBKKD, recCSMUviR3AcGnOr, recMpJ9Ck1O53bUfB",,,per week,"Complete at least 3 Zone 2 cardio sessions per week, any duration, Complete at least 3 Zone 2 cardio sessions per week, any duration, Complete at least 3 Zone 2 cardio sessions per week, any duration, Complete at least 3 Zone 2 cardio sessions per week, any duration, Complete at least 3 Zone 2 cardio sessions per week, any duration",>=,weekly,weekly,3 sessions,,proportional_frequency,≥3 sessions/week,3,1,recl2iT9ZsTmqtIV6,sessions,sessions,
rec3VWDeEJJZLZE3o,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0025.3,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recp3IX3PBaAd5c4Q, recGLlyNLYf8u5BaJ, reckwe0tPF7rHoI4m",,,per week,"Complete at least 5 Zone 2 cardio sessions per week, any duration, Complete at least 5 Zone 2 cardio sessions per week, any duration, Complete at least 5 Zone 2 cardio sessions per week, any duration",>=,weekly,weekly,5 sessions,,proportional_frequency,≥5 sessions/week,5,1,recl2iT9ZsTmqtIV6,sessions,sessions,
recUC1yPq3WfMMdbk,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0026.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recNXQQfFQmX92VUZ, recC8q9C8sILMiPSh, reciC3E92r45cvaFl, rec4E0O8LMoiUtcPM, rec9EoUorrBj4pN9i",,,per_day,"Reach at least 5,000 steps per day on at least 2 days per week, Reach at least 5,000 steps per day on at least 2 days per week, Reach at least 5,000 steps per day on at least 2 days per week, Reach at least 5,000 steps per day on at least 2 days per week, Reach at least 5,000 steps per day on at least 2 days per week",>=,weekly,2 of 7 days,5000 steps,,proportional_frequency,"≥5,000 x 2",5000,2,recNlALYqbdTE9AfY,steps,steps,
recDpVo23sMbQUNSp,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0026.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",daily,sum,"recKZ5L0Kpo6tKB3i, recZ3avBNIBcYUZIq, recFqZMidytR57Cpq, recwNP94fA55ZlKl5, recsg1JFToyF1KxdM",,,per_day,"Reach at least 7,500 steps per day on at least 5 days per week, Reach at least 7,500 steps per day on at least 5 days per week, Reach at least 7,500 steps per day on at least 5 days per week, Reach at least 7,500 steps per day on at least 5 days per week, Reach at least 7,500 steps per day on at least 5 days per week",>=,weekly,5 of 7 days,7500 steps,,proportional_frequency,"≥7,500 x 5",7500,5,recNlALYqbdTE9AfY,steps,steps,
recCYQa295ukLsTVP,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0027.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"reccrQ1kiiWVAxg76, rec13HauOe98CFBI9, recgD2FMlbQNf058o, recuTZSe4O5DhNRaQ, recfjXzXJrf9ZkP3C",,,per week,"Complete at least 1 strength training session per week, Complete at least 1 strength training session per week, Complete at least 1 strength training session per week, Complete at least 1 strength training session per week, Complete at least 1 strength training session per week",>=,weekly,weekly,1 session,,proportional_frequency,≥1 session/week,1,1,reclY9BPepnZQSiDm,sessions,session,
recPivGWY80E8iYU7,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0027.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"rec7TxZ4ZshB3d43z, reclmaDNdaDXOLOp4, recapYAuNVqqg11fe, recGaHEuRAX6k4VQU, recBkrFtc0FcqCMri",,,per week,"Complete at least 2 strength training sessions per week, Complete at least 2 strength training sessions per week, Complete at least 2 strength training sessions per week, Complete at least 2 strength training sessions per week, Complete at least 2 strength training sessions per week",>=,weekly,weekly,2 sessions,,proportional_frequency,≥2 sessions/week,2,1,reclY9BPepnZQSiDm,sessions,sessions,
rec3ro6uL961ECYPC,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0027.3,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recx9o3i1T67l8CTe, rec4MZ5K1OWjFZhVL, recC1Hn6n4pW43qHL",,,per week,"Complete at least 3 strength training sessions per week, Complete at least 3 strength training sessions per week, Complete at least 3 strength training sessions per week",>=,weekly,weekly,3 sessions,,proportional_frequency,≥3 sessions/week,3,1,reclY9BPepnZQSiDm,sessions,sessions,
recDN2PKaxzV3ktud,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0028.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recOXhqa8Vrr0cox5, recxIkcVO6LHuCwmD, reczrWbADBuDDMLW3, rec2CZD9nRNUTjJqj, recqTmxE1416HiZc7",,,per week,"Accumulate at least 60 minutes of strength training per week, Accumulate at least 60 minutes of strength training per week, Accumulate at least 60 minutes of strength training per week, Accumulate at least 60 minutes of strength training per week, Accumulate at least 60 minutes of strength training per week",>=,weekly,weekly,≥60 minutes,,proportional_frequency,≥60 min/week,60,1,rec1MrcLLaRhmGBR2,minutes,minutes,
recRurTozIFDybzbf,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0028.2,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recxyu4nEiknyRlqI, recGIPoltFJ9u4XBZ, recgG5A7D1S7lVtYn, recCGcy93JQwBwLP4, recL5AkD3SneWpk6I",,,per week,"Accumulate at least 120 minutes of strength training per week, Accumulate at least 120 minutes of strength training per week, Accumulate at least 120 minutes of strength training per week, Accumulate at least 120 minutes of strength training per week, Accumulate at least 120 minutes of strength training per week",>=,weekly,weekly,≥120 minutes,,proportional_frequency,≥120 min/week,120,1,rec1MrcLLaRhmGBR2,minutes,minutes,
recpF9XY5vv2TTtco,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0028.3,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"rec0VoAJ9O4bwmGti, recMsUOq17P1XDfMD, recSv4tPHXCsb9H0R",,,per week,"Accumulate at least 180 minutes of strength training per week, Accumulate at least 180 minutes of strength training per week, Accumulate at least 180 minutes of strength training per week",>=,weekly,weekly,≥180 minutes,,proportional_frequency,≥180 min/week,180,1,rec1MrcLLaRhmGBR2,minutes,minutes,
rec1ZQtykB03zujCN,2025-06-04T23:56:39.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",REC0029.1,2025-09-16T23:07:07.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",frequency,sum,"recyn8hsEojXGvkAe, recYndR6ISWVjOjq7, recAsdCEZQeY90Gbj, rec80vocs9pb07N1R, recHv7S16oyiqrIGt",,,per week,"Complete at least 1 HIIT session per week, Complete at least 1 HIIT session per week, Complete at least 1 HIIT session per week, Complete at least 1 HIIT session per week, Complete at least 1 HIIT session per week",>=,weekly,weekly,1 session,,proportional_frequency,≥1 session/week,1,1,recx84UE6rhr6jUuq,sessions,session,
